Time,Open,High,Low,Close,Volume,Return,FGI
20230703000000,30499.4,30700,30369.6,30559.8,707.3351,0.0019803797,62
20230703040000,30559.8,30800.4,30425.1,30615.6,1478.0918,0.0018258898,62
20230703080000,30615.7,30800,30591.8,30761.8,1066.5598,0.0047721127,62
20230703120000,30761.7,30799.9,30612.8,30669.8,1000.05975,-0.0029874304,62
20230703160000,30669.8,30702.9,30588,30626.8,812.0525,-0.0014020306,62
20230703200000,30624,31180,30572,31071.7,2281.745,0.0146192275,62
20230704000000,31071.6,31389,30829.7,31263.3,2742.9734,0.006169659,64
20230704040000,31263.3,31302.9,30890.1,31161,1393.3004,-0.0032722324,64
20230704080000,31161.1,31324.9,31100,31198,1104.0745,0.0011841813,64
20230704120000,31198,31216.8,30890.7,30908.3,1070.8087,-0.009285826,64
20230704160000,30906.9,31082,30868.8,31069.7,1115.6394,0.0052673942,64
20230704200000,31069.7,31083,30886.7,30966.2,697.55176,-0.0033312198,64
20230705000000,30964.2,31132,30625.3,30700.6,1556.1726,-0.008513045,61
20230705040000,30700.6,30846.8,30670,30765.9,363.2634,0.0021270197,61
20230705080000,30766,30877.5,30751,30868.1,463.35126,0.0033185857,61
20230705120000,30868.5,30874.8,30766.6,30777.8,523.44434,-0.0029382452,61
20230705160000,30777.8,30800,30342.2,30403.1,1937.8721,-0.012174397,61
20230705200000,30403,30442.8,30200,30358.3,1913.6067,-0.001470224,61
20230706000000,30358.3,30604,30336.2,30433.1,905.218,0.0024638674,56
20230706040000,30439.1,30539.9,30391.4,30505,528.50745,0.0021649916,56
20230706080000,30505,30561.9,30331.2,30498.8,638.07007,-0.00020321977,56
20230706120000,30498.8,30857.1,30443,30800.3,1465.1244,0.009885634,56
20230706160000,30800.2,31550,30686,30848.1,6053.151,0.0015551974,56
20230706200000,30848.1,30883.3,29888,30403.7,5755.6323,-0.014406087,56
20230707000000,30405.9,30465.3,30163.5,30310,1006.42645,-0.0031540059,55
20230707040000,30308.1,30343.5,29855,29893,1330.3196,-0.013695996,55
20230707080000,29893.1,30167.6,29705.2,30140,2106.6572,0.0082594445,55
20230707120000,30140.1,30304.5,29936.2,30009.1,1367.0977,-0.0043463693,55
20230707160000,30009.1,30197.1,29976,30119.9,848.01404,0.0036922395,55
20230707200000,30119.5,30446.7,30044.1,30389.5,2202.039,0.008964292,55
20230708000000,30389.5,30451,30115.2,30243.5,694.9578,-0.004804291,58
20230708040000,30243.4,30348.6,30211.2,30344.8,433.59583,0.0033528104,58
20230708080000,30344.9,30383.3,30256.3,30279.2,389.61035,-0.002165147,58
20230708120000,30279.3,30280,30144.1,30193.3,464.0843,-0.0028402242,58
20230708160000,30193.3,30315.1,30158.9,30200.9,511.5545,0.00025169854,58
20230708200000,30200.9,30241,30154.6,30209.7,353.1604,0.00029134323,58
20230709000000,30209.8,30326.8,30043.6,30111.5,504.57266,-0.0032539368,55
20230709040000,30111.6,30297.8,30057.8,30286.3,265.32843,0.00580179,55
20230709080000,30286.4,30405.9,30252.9,30289.7,442.9461,0.0001089211,55
20230709120000,30289.7,30304.6,30236.8,30268.2,236.24918,-0.0007098123,55
20230709160000,30268.2,30313,30244.1,30271.7,199.42169,0.00011563291,55
20230709200000,30271.7,30454,30188,30351,686.6904,0.0026196344,55
20230710000000,30351,30351.1,30203.9,30243.5,490.19305,-0.003541893,56
20230710040000,30243.6,30254.1,30067.1,30162.8,543.015,-0.002671601,56
20230710080000,30164.9,30257.9,29946.7,30160.3,1270.1057,-0.00015248217,56
20230710120000,30160.3,30165.8,30051.8,30115.9,438.9519,-0.0014721468,56
20230710160000,30116,30247.3,30001,30241.5,684.92615,0.00416722,56
20230710200000,30241.6,30364.8,30141.2,30315.7,1522.9277,0.0024502543,56
20230711000000,30315.8,30837.7,30244,30834.7,1659.371,0.017116435,57
20230711040000,30837.8,31045.7,30188.8,30414.2,3023.6567,-0.013736439,57
20230711080000,30414.2,30600,30356.7,30476.4,856.7388,0.002045136,57
20230711120000,30476.4,30657,30438,30539,893.30756,0.0020540354,57
20230711160000,30538.9,30566,30348,30408.8,826.06244,-0.0042601274,57
20230711200000,30408.8,30812.5,30291.4,30597.9,2274.935,0.0062185815,57
20230712000000,30598,30686,30407.3,30583.9,1184.9082,-0.00046080168,64
20230712040000,30583.9,30649.6,30505.4,30622,541.4317,0.0012457407,64
20230712080000,30622,30675.5,30504,30595.1,756.47424,-0.0008784662,64
20230712120000,30595.1,30847,30572,30742,1132.0286,0.0048014354,64
20230712160000,30742.1,30810.3,30660.7,30775.4,609.9369,0.0010832306,64
20230712200000,30776.3,30980,30474,30522.8,3598.2993,-0.008236857,64
20230713000000,30520.3,30537.4,30211,30288.1,1818.4032,-0.007608089,57
20230713040000,30284.7,30421.5,30243.2,30381.5,552.425,0.0031963594,57
20230713080000,30381.5,30439,30277.8,30301.2,528.3313,-0.0026430816,57
20230713120000,30301.3,30427.3,30257.1,30366.1,802.22046,0.0021384833,57
20230713160000,30366.1,30638.8,30348.4,30545,1453.4021,0.005891451,57
20230713200000,30545,31192.2,30466.8,30913.8,4009.6538,0.012074015,57
20230714000000,30918,31830,30717.9,31620.1,7839.357,0.022708442,60
20230714040000,31612.2,31696.6,31005,31454.5,2992.317,-0.004988556,60
20230714080000,31456.3,31637.8,31334.6,31459.9,1396.2179,0.00011443206,60
20230714120000,31459.9,31468.6,31078.3,31098.1,1386.3809,-0.011500379,60
20230714160000,31098.1,31288.6,31082.9,31208.5,1301.0891,0.0035500687,60
20230714200000,31208.6,31358.6,31052,31240.6,1538.5742,0.0010253584,60
20230715000000,31240.6,31275.6,29900.7,30117.9,7283.6924,-0.035937186,56
20230715040000,30116.5,30320,29990,30310.1,1427.283,0.0064283567,56
20230715080000,30310.1,30395,30234,30288.4,1028.3307,-0.0007159072,56
20230715120000,30288.4,30359.8,30256.2,30335.9,553.7203,0.0015682571,56
20230715160000,30335.9,30370,30280.6,30313.2,549.72046,-0.00074832694,56
20230715200000,30313.3,30361,30245.1,30300.5,759.42474,-0.00042228267,56
20230716000000,30300.5,30350,30253.9,30329,265.88342,0.0009405785,57
20230716040000,30328,30328,30267.4,30291.8,150.77458,-0.0011935907,57
20230716080000,30291.9,30333.8,30059.6,30182,1233.511,-0.0036280453,57
20230716120000,30181.9,30307.6,30133.3,30262.1,959.36505,0.0026571958,57
20230716160000,30262,30348,30262,30303.4,447.68723,0.0013680652,57
20230716200000,30303.4,30440,30271,30377.4,660.95,0.0024419702,57
20230717000000,30377.5,30397.5,30195.4,30248.6,636.61975,-0.004243285,54
20230717040000,30248.6,30357.1,30129.3,30231.3,445.83722,-0.0005718886,54
20230717080000,30231.4,30330.8,30175.3,30306.9,512.65076,0.0024974034,54
20230717120000,30306.9,30325.5,30233.4,30279.6,423.7257,-0.00090081076,54
20230717160000,30279.6,30319.5,29958.2,30162,1561.5612,-0.00388379,54
